,0,1,2,3,4
2,2017-01-18,Donya Labs,未透露,未透露,微软Microsoft
3,2017-01-16,ReviewPro,79%,2636万欧元,石基信息
4,2017-01-15,Maluuba,未透露,未透露,微软Microsoft
5,2017-01-10,harvest.ai,100%,未透露,Amazon亚马逊
6,2017-01-06,Limes Audio,未透露,未透露,Google Ventures
7,2017-01-04,HERE,15%,未透露,英特尔投资Intel Capital
8,2017-01-04,HexaTier,100%,4200万美元,华为
9,2016-12-29,The Eye Tribe,未透露,未透露,Oculus VR
10,2016-12-29,PayByPhone,未透露,未透露,大众资本
11,2016-12-27,Unister Travel,未透露,未透露,Rockaway Capital
12,2016-12-26,HERE,10%,未透露,四维图新
13,2016-12-22,Sanook,100%,未透露,腾讯
14,2016-12-20,Living Proof,未透露,未透露,联合利华
0,2016-12-20,Deepfield,未透露,未透露,Nokia诺基亚
1,2016-12-20,Rightware Oy,100%,6400万欧元,JJ比赛(竞技创投)
2,2016-12-20,PLUMGrid,未透露,未透露,VMware
3,2016-12-20,Thomsons Online Benefits,未透露,未透露,美世联合创投
4,2016-12-20,东芝医疗,未透露,395亿人民币,Canon佳能
5,2016-12-14,Cronologics,未透露,未透露,Google Ventures
6,2016-12-02,Product Hunt,未透露,未透露,AngelList
7,2016-12-02,AppFormix,未透露,未透露,Juniper Networks
8,2016-11-30,DeWAL Industries,未透露,未透露,Rogers Venture Partners
9,2016-11-25,QD Vision,未透露,7000万美元,Samsung Ventures三星
10,2016-11-24,Skyscanner天巡,100%,14亿英镑,携程
11,2016-11-24,Biba,未透露,未透露,Amazon亚马逊
12,2016-11-22,Dyn,未透露,6亿美元,甲骨文Oracle
13,2016-11-22,Qwiklabs,未透露,未透露,Google Ventures
14,2016-11-22,Machinima,未透露,未透露,Warner Bros.华纳兄弟
0,2016-11-18,Bit Stew,未透露,1.53亿美元,GE Ventures通用电气
1,2016-11-17,FacioMetrics,未透露,未透露,Facebook
2,2016-11-17,SocialRadar,未透露,未透露,Verizon Ventures
3,2016-11-17,NewNet Communication Technologies,未透露,未透露,Samsung Ventures三星
4,2016-11-15,Undecidable Labs,未透露,未透露,Google谷歌
5,2016-11-12,CrowdTangle,未透露,未透露,Facebook
6,2016-11-11,TubeMogul,未透露,5.4亿美元,Adobe Systems
7,2016-11-09,Oprea,100%,5.75亿美元,昆仑万维
8,2016-11-09,Blue Nile,100%,5亿美元,贝恩资本BainCapital
9,2016-11-07,Alcatel-Lucent,100%,未透露,Nokia诺基亚
10,2016-11-04,Voke,未透露,未透露,英特尔投资Intel Capital
11,2016-11-04,DCP集团,未透露,10亿美元,万达集团
12,2016-11-04,EatWith,未透露,未透露,TripAdvisor
13,2016-11-03,Preact,未透露,未透露,Spotify
14,2016-11-02,MAVinci,未透露,未透露,英特尔投资Intel Capital
0,2016-10-28,Tachyon,未透露,未透露,Samsung Ventures三星
1,2016-10-28,Sanovi Technologies,未透露,未透露,IBM
2,2016-10-27,LivingSocial,未透露,未透露,Groupon
3,2016-10-25,Eyefluence,未透露,未透露,Google Ventures
4,2016-10-18,WorkLife,未透露,未透露,Cisco思科
5,2016-10-17,InfiniLED,未透露,未透露,Oculus VR
6,2016-10-14,PitchBook,100%,2.25亿美元,Morningstar晨星
7,2016-10-12,FameBit,未透露,未透露,Google Ventures
8,2016-10-11,富士通Fujitsu,未透露,未透露,联想集团
9,2016-10-09,Webpass,未透露,未透露,Google Ventures
10,2016-10-08,Viv Labs,未透露,未透露,Samsung Ventures三星
11,2016-10-08,Corrigon,未透露,未透露,eBay
12,2016-09-23,Tuplejump,未透露,未透露,Apple苹果
13,2016-09-23,Analogix Semiconductor,未透露,5亿美元,山海创投
14,2016-09-21,BlazeMeter,未透露,未透露,CA创投
0,2016-09-20,api.ai,未透露,未透露,Google Ventures
1,2016-09-20,Nascent Objects,未透露,未透露,Facebook
2,2016-09-19,Palerra,未透露,未透露,甲骨文Oracle
3,2016-09-19,Trip4real,未透露,未透露,Airbnb
4,2016-09-18,Urban Engines,未透露,未透露,Google Ventures
5,2016-09-18,R2integrated,未透露,未透露,贝雅资本
6,2016-09-14,EyeVerify,100%,7000万美元,蚂蚁金服(阿里巴巴)
7,2016-09-13,Sensity Systems,未透露,未透露,Verizon Ventures
8,2016-09-09,Apigee,未透露,6.25亿美元,Google谷歌
9,2016-09-08,Navistar,17%,2.56亿美元,大众资本
10,2016-09-08,Formula One,未透露,44亿美元,Liberty Media
11,2016-09-08,Auviz Systems,未透露,未透露,Xilinx
12,2016-09-07,LogFire,未透露,未透露,甲骨文Oracle
13,2016-09-07,Arcam,未透露,未透露,GE Ventures通用电气
14,2016-09-07,SLM Solutions,未透露,未透露,GE Ventures通用电气
0,2016-09-06,Movidius,未透露,未透露,英特尔投资Intel Capital
1,2016-09-06,Fablic,未透露,未透露,日本乐天Rakuten
2,2016-09-01,ContainerX,未透露,未透露,思科瑞新资本(思科资本)
3,2016-09-01,Wagon,未透露,未透露,Box
4,2016-08-25,Citymaps,未透露,未透露,TripAdvisor
5,2016-08-24,Instapaper,未透露,未透露,Pinterest
6,2016-08-23,Gliimpse,未透露,未透露,Apple苹果
7,2016-08-23,Genee,未透露,未透露,微软Microsoft
8,2016-08-23,DreamWorks Animation,未透露,38亿美元,NBC Universal(NBC环球)
9,2016-08-22,Medivation,未透露,140亿美元,辉瑞Pfizer
10,2016-08-19,Bitnet,未透露,未透露,日本乐天Rakuten
11,2016-08-18,Otto,未透露,6.8亿美元,uber
12,2016-08-17,Curse,未透露,未透露,Twitch
13,2016-08-17,SAIPS,未透露,未透露,Ford福特汽车
14,2016-08-16,Vurb,未透露,2亿美元,Snapchat
0,2016-08-16,BeyondCore,未透露,未透露,Salesforce
1,2016-08-16,Blueair,未透露,未透露,联合利华
2,2016-08-15,OL里昂,20%,1亿欧元,IDG资本
3,2016-08-12,Beam,未透露,未透露,微软Microsoft
4,2016-08-12,BAM Tech,33%,10亿美元,The Walt Disney Company迪士尼
5,2016-08-11,Telogis,未透露,未透露,Verizon Ventures
6,2016-08-11,Fleetmatics Group Plc,未透露,24亿美元,Verizon Ventures
7,2016-08-11,Dacor,未透露,未透露,Samsung Ventures三星
8,2016-08-10,Nervana System,100%,3.5亿美元,英特尔投资Intel Capital
9,2016-08-10,BAMTech,100%,10亿美元,The Walt Disney Company迪士尼
10,2016-08-10,Eyegroove,未透露,未透露,Facebook
11,2016-08-09,Orbitera,未透露,1亿美元,Google谷歌
12,2016-08-09,Jet.com,未透露,33亿美元,沃尔玛WalMart
13,2016-08-08,Turi,未透露,2亿美元,Apple苹果
14,2016-08-03,Aurrion,未透露,未透露,Juniper Networks
0,2016-08-02,Quip,100%,7.5亿美元,Salesforce
1,2016-08-02,News Republic猎豹移动,未透露,5700万美元,猎豹移动
2,2016-08-02,Gainspeed,未透露,未透露,Nokia诺基亚
3,2016-07-31,Playtika,100%,44亿美元,巨人网络(巨人创投)
4,2016-07-29,NetSuite,未透露,93亿美元,甲骨文Oracle
5,2016-07-28,YAHOO雅虎,未透露,48.3亿美元,Verizon Ventures
6,2016-07-28,LaunchKit,未透露,未透露,Google谷歌
7,2016-07-27,Vizio,100%,20亿美元,乐视网
8,2016-07-27,PointDrive,未透露,未透露,LinkedIn
9,2016-07-25,Coolan,未透露,未透露,Salesforce
10,2016-07-22,VocaLink,92%,11.4亿美元,MasterCard万事达
11,2016-07-21,Dollar Shave Club,100%,10亿美元,联合利华
12,2016-07-18,AC米兰,70%,4.37亿美元,百度公司
13,2016-07-16,Ticket Utils,未透露,未透露,eBay
14,2016-07-15,GameAnalytics,90%,1172万美元,汇量科技Mobvista
0,2016-07-14,Splash Damage,未透露,1.5亿美元,乐游资本
1,2016-07-13,Kifi,未透露,未透露,Google谷歌
2,2016-07-12,SalesPredict,未透露,未透露,eBay
3,2016-07-08,Anvato,未透露,未透露,Google谷歌
4,2016-07-07,Moodstacks,未透露,未透露,Google谷歌
5,2016-07-03,StreamRail,未透露,数千万美元,ironSource
6,2016-06-24,Clivet,80%,数千万美元,美的集团
7,2016-06-21,Supercell,84%,86亿美元,腾讯
8,2016-06-17,Wand Labs,未透露,未透露,微软Microsoft
9,2016-06-16,Joyent,未透露,未透露,Samsung Ventures三星
10,2016-06-13,Gimatic,100%,1.5亿欧元,汉德资本
